advertiser_id,product_id,click,impression,ctr
HDXTQ93K03FK9NNSWWJ2,2x4fop,1,0,inf
2FSH0GSEIMRP3GWARS3L,gh1xfj,1,0,inf
K4HA2ZD4UCNEKZZTNXKO,0glrd1,1,0,inf
KD67BLL9551LG3GPTG9K,7936jx,1,1,1.0
K4HA2ZD4UCNEKZZTNXKO,rqgyiv,1,1,1.0
HDXTQ93K03FK9NNSWWJ2,x0mzlg,1,1,1.0
OCM9UM89HXY7B2LQNSND,thzob3,1,1,1.0
LTY14YH48ZRDN5I50WE3,mraqap,1,1,1.0
RALVMMRCZ047ZH6W3HMC,bcacnl,1,1,1.0
VIXGFHT6B6DUZLD86IIN,ytn3x4,1,1,1.0
HCOFU1UZE99KYYWKNMK5,wuljcr,1,1,1.0
HCOFU1UZE99KYYWKNMK5,18z0sk,1,1,1.0
AV8X2SA4NICREY7DDAPR,iff2l2,1,1,1.0
RALVMMRCZ047ZH6W3HMC,4ly04k,1,1,1.0
LTY14YH48ZRDN5I50WE3,v3huy6,2,2,1.0
0MJGNPL5TP85CMYP807Y,4hot1v,1,2,0.5
RALVMMRCZ047ZH6W3HMC,edyiuf,1,2,0.5
HDXVWMQ53JJC0BY84N3E,hg4wz5,1,2,0.5
VIXGFHT6B6DUZLD86IIN,iy7aav,1,2,0.5
1GYAS7HDPACX993P201R,epjcup,1,2,0.5
