date,advertiser_id,product_id,impressions,clicks,CTR
2024-05-01,0MJGNPL5TP85CMYP807Y,00knl1,3.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,032ll2,1.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,p62o8c,5.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,ob4d7d,2.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,o9hrn1,1.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,nvdozs,2.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,npinxk,1.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,mz71ts,1.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,mmvrdu,3.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,mf2bdx,2.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,luw2m8,2.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,l58zk0,5.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,kz5840,2.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,kyhoo5,2.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,k2sxxh,5.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,k1pu0w,3.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,iwc7py,3.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,iqiuao,2.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,ipsgdv,2.0,0.0,0.0
2024-05-01,0MJGNPL5TP85CMYP807Y,i6gg4g,1.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,y75ut0,1.0,1.0,100.0
2024-05-01,1GYAS7HDPACX993P201R,v4mht3,1.0,1.0,100.0
2024-05-01,1GYAS7HDPACX993P201R,00hfgd,3.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,kbq27x,2.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,pod8cd,3.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,pfdupb,2.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,p719ol,3.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,o99sn5,3.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,o18al4,2.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,nhxctr,3.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,kwkomh,2.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,k7yhk9,2.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,prkip9,1.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,k4kc7p,3.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,im952t,1.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,i0kvgh,1.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,hklgzw,2.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,hf00m4,2.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,h2bu0v,1.0,0.0,0.0
2024-05-01,1GYAS7HDPACX993P201R,h09qpe,2.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,47kg8n,4.0,1.0,25.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,04fqgb,1.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,rr8lmd,2.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,qsuap4,3.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,qr7imz,2.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,q9yl4o,2.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,pisayu,1.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,pek9ph,2.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,oexylq,6.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,nd5ilq,2.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,nc3zke,2.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,n0abls,2.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,mwiqw5,4.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,ms4wwy,1.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,lzkq5d,2.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,lsbxnj,2.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,kyym28,1.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,kk96rd,1.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,kdhg93,2.0,0.0,0.0
2024-05-01,1HFCN40GNHOQ5CVNX4JQ,jf1rfa,2.0,0.0,0.0
2024-05-01,2FSH0GSEIMRP3GWARS3L,2glosp,1.0,1.0,100.0
2024-05-01,2FSH0GSEIMRP3GWARS3L,0ekuqw,1.0,0.0,0.0
2024-05-01,2FSH0GSEIMRP3GWARS3L,ox57bz,1.0,0.0,0.0
2024-05-01,2FSH0GSEIMRP3GWARS3L,qawuxe,1.0,0.0,0.0
2024-05-01,2FSH0GSEIMRP3GWARS3L,q77iin,2.0,0.0,0.0
2024-05-01,2FSH0GSEIMRP3GWARS3L,ptuk2s,2.0,0.0,0.0
2024-05-01,2FSH0GSEIMRP3GWARS3L,pfs10y,2.0,0.0,0.0
2024-05-01,2FSH0GSEIMRP3GWARS3L,pf6xfj,3.0,0.0,0.0
2024-05-01,2FSH0GSEIMRP3GWARS3L,pbiuag,1.0,0.0,0.0
2024-05-01,2FSH0GSEIMRP3GWARS3L,p75u2o,2.0,0.0,0.0
